Gameweek,id,team_h_difficulty,homeTeam,homeScore,awayScore,awayTeam,team_a_difficulty,finished
9,89,2,17,1,2,8,2,1
9,81,3,1,3,1,18,4,1
9,90,2,19,2,0,20,3,1
9,82,3,3,0,0,4,2,1
9,83,3,7,1,2,6,2,1
9,84,3,9,1,4,15,2,1
9,87,3,12,3,3,5,4,1
9,88,3,13,6,3,14,5,1
9,85,2,11,0,0,2,2,1
9,86,2,10,4,0,16,3,1
1,1,4,7,0,2,1,2,1
1,4,4,9,2,2,12,2,1
1,2,2,3,2,0,2,2,1
1,5,2,11,2,1,20,2,1
1,7,2,15,2,0,16,4,1
1,8,2,18,4,1,17,4,1
1,3,3,8,0,1,6,2,1
1,6,3,10,2,2,4,3,1
1,9,3,14,1,2,5,4,1
1,10,5,19,0,2,13,3,1
2,20,2,20,0,0,9,2,1
2,12,2,2,2,1,8,2,1
2,19,2,17,2,2,11,2,1
2,11,3,1,4,2,10,4,1
2,14,3,5,0,0,15,3,1
2,17,2,13,4,0,3,5,1
2,13,3,4,4,0,14,3,1
2,18,2,16,1,0,19,2,1
2,15,3,6,2,2,18,4,1
2,16,2,12,1,1,7,4,1
3,21,4,3,0,3,1,2,1
3,29,2,18,1,0,20,4,1
3,30,3,19,0,2,5,3,1
3,22,2,7,3,1,2,2,1
3,23,2,8,1,1,16,2,1
3,24,3,9,3,2,4,2,1
3,26,2,10,1,2,17,3,1
3,25,3,11,3,0,6,2,1
3,28,5,15,3,3,13,4,1
3,27,4,14,2,1,12,4,1
4,31,2,1,2,1,9,4,1
4,39,3,17,0,1,14,2,1
4,33,2,4,1,1,8,3,1
4,34,2,5,1,0,11,3,1
4,35,3,6,2,1,10,4,1
4,36,2,12,9,0,3,4,1
4,37,2,13,4,2,7,5,1
4,32,2,2,0,1,19,2,1
4,40,3,20,1,1,15,2,1
4,38,3,16,0,2,18,2,1
5,43,3,7,1,1,4,2,1
5,44,3,9,2,1,5,2,1
5,42,2,3,0,0,20,2,1
5,50,3,17,2,1,6,2,1
5,45,2,11,1,1,8,2,1
5,49,2,13,6,0,16,5,1
5,41,2,1,2,1,2,4,1
5,47,3,19,1,1,18,3,1
5,48,3,12,2,1,15,4,1
5,46,3,10,0,1,14,3,1
6,55,4,8,0,0,12,2,1
6,60,2,20,1,0,17,2,1
6,52,2,4,5,2,11,3,1
6,54,2,6,2,1,19,4,1
6,57,2,15,0,0,7,4,1
6,58,2,16,2,3,3,2,1
6,51,5,2,1,1,13,2,1
6,59,2,18,2,1,9,4,1
6,53,3,5,5,2,10,3,1
6,56,4,14,3,1,1,4,1
8,79,3,18,6,2,10,4,1
8,71,2,2,1,0,17,2,1
8,78,2,16,2,3,9,2,1
8,72,4,4,0,3,1,3,1
8,80,5,20,0,3,13,2,1
8,77,2,15,1,1,3,4,1
8,75,2,8,1,0,19,2,1
10,100,2,19,3,1,9,3,1
10,92,3,3,2,1,10,2,1
10,94,2,6,3,0,20,4,1
10,97,2,13,4,0,17,5,1
10,98,3,15,5,1,4,4,1
10,93,3,5,0,1,18,3,1
10,95,2,7,2,1,11,2,1
10,91,4,1,3,2,12,4,1
10,96,3,8,1,2,14,2,1
10,99,2,16,1,1,2,2,1
11,110,2,20,1,0,16,2,1
11,102,3,4,2,0,5,3,1
11,105,2,10,0,0,7,3,1
11,103,2,9,2,2,3,2,1
11,101,3,2,0,2,6,2,1
11,109,2,18,2,0,8,4,1
11,104,4,11,0,1,1,2,1
11,107,3,14,0,0,15,4,1
11,108,2,17,1,1,19,2,1
11,106,5,12,1,0,13,4,1
12,114,2,5,0,0,16,3,1
12,115,2,7,2,1,20,2,1
12,120,2,15,1,0,8,4,1
12,112,2,3,0,1,17,2,1
12,113,3,4,0,0,6,3,1
12,118,2,12,1,0,19,4,1
12,119,3,14,2,0,18,4,1
12,116,2,9,3,0,2,2,1
12,117,2,10,2,0,11,3,1
13,126,4,16,1,0,12,2,1
13,123,2,8,3,0,7,2,1
13,125,3,13,3,1,5,5,1
13,130,3,20,0,4,10,2,1
13,122,3,6,1,1,14,4,1
13,121,3,2,4,0,4,2,1
13,124,2,11,2,3,9,2,1
13,127,4,17,1,1,1,2,1
13,128,3,18,1,2,15,4,1
13,129,2,19,2,0,3,3,1
14,137,5,10,0,1,13,3,1
14,140,2,15,4,0,2,4,1
14,132,3,3,2,3,18,2,1
14,133,2,4,1,1,20,3,1
14,134,3,5,4,1,6,3,1
14,135,2,7,1,0,17,2,1
14,136,2,9,0,0,8,2,1
14,138,2,12,1,2,11,4,1
14,131,2,1,5,0,16,4,1
14,139,2,14,1,0,19,4,1
15,144,2,11,4,3,3,2,1
15,145,2,13,2,1,9,5,1
15,146,3,16,2,2,4,2,1
15,142,4,6,0,1,1,4,1
15,150,3,20,2,3,5,2,1
15,143,3,8,0,2,10,2,1
15,141,3,2,3,1,14,2,1
15,147,3,17,1,4,15,2,1
15,149,2,19,1,2,7,3,1
15,148,4,18,1,2,12,4,1
16,155,3,13,1,2,4,5,1
16,159,3,19,0,2,10,3,1
16,151,2,3,3,0,8,2,1
16,154,2,12,3,1,17,4,1
16,157,2,16,1,0,7,2,1
16,158,2,18,4,3,11,4,1
