id_player,FullName,status,Club,position,opponent_team,gameweek_points,minutes,gameweek_goals, gameweek_assists, gameweek_clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,gameweek_yellow_cards,gameweek_red_cards,gameweek_saves,bonus,value,total_points,total_assists,total_clean_sheets,total_yellow_cards,total_red_cards,total_saves,total_goals
745,Oliwier Zych,a,Aston Villa,GKP,13,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
745,Oliwier Zych,a,Aston Villa,GKP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
745,Oliwier Zych,a,Aston Villa,GKP,8,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
745,Oliwier Zych,a,Aston Villa,GKP,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
745,Oliwier Zych,a,Aston Villa,GKP,19,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
745,Oliwier Zych,a,Aston Villa,GKP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
745,Oliwier Zych,a,Aston Villa,GKP,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
745,Oliwier Zych,a,Aston Villa,GKP,10,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
745,Oliwier Zych,a,Aston Villa,GKP,16,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
745,Oliwier Zych,a,Aston Villa,GKP,15,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
745,Oliwier Zych,a,Aston Villa,GKP,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,3,1,90,0,0,0,2,0,0,0,0,0,1,0,50,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,8,3,90,0,0,0,1,0,0,0,0,0,4,0,50,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,7,10,90,0,0,0,3,0,1,0,0,0,6,2,50,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,19,2,90,0,0,0,1,0,0,0,0,0,1,0,50,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,1,3,90,0,0,0,2,0,0,0,0,0,6,0,50,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,13,3,90,0,0,0,1,0,0,0,0,0,3,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,17,6,90,0,0,1,0,0,0,0,0,0,1,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,11,6,90,0,0,1,0,0,0,0,0,0,1,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,16,2,90,0,0,0,1,0,0,0,0,0,2,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,6,1,90,0,0,0,2,0,0,0,0,0,2,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,9,2,90,0,0,0,3,0,0,0,0,0,5,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,4,7,90,0,0,1,0,0,0,0,0,0,3,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,15,1,34,0,0,0,0,0,0,0,0,0,1,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,14,2,90,0,0,0,1,0,0,0,1,0,3,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,5,1,90,0,0,0,1,0,0,0,1,0,1,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,12,0,0,0,0,0,0,0,0,0,0,0,0,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,18,0,0,0,0,0,0,0,0,0,0,0,0,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,20,2,90,0,0,0,1,0,0,0,0,0,2,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,11,1,90,0,0,0,1,0,0,0,1,0,2,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,17,10,90,0,0,1,0,0,0,0,0,0,5,3,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,10,0,90,0,0,0,4,0,0,0,0,0,1,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,13,2,90,0,0,0,3,0,0,0,0,0,5,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,1,-3,90,0,0,0,4,1,0,0,1,0,2,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,8,9,90,0,0,1,0,0,0,0,1,0,4,3,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,7,7,90,0,0,1,0,0,0,0,0,0,0,1,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,19,3,90,0,0,0,1,0,0,0,0,0,4,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,3,7,90,0,0,1,0,0,0,0,0,0,3,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,6,11,90,0,0,1,0,0,0,0,0,0,7,3,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,10,3,90,0,0,0,1,0,0,0,0,0,3,0,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,16,9,90,0,0,1,0,0,0,0,0,0,2,3,49,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,15,6,90,0,0,1,0,0,0,0,0,0,2,0,50,118,0,10,5,0,84,0,
31,Emiliano Martínez Romero,d,Aston Villa,GKP,4,1,45,0,0,0,0,0,0,0,0,0,2,0,50,118,0,10,5,0,84,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,18,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,16,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,15,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,19,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,11,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,8,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,13,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,14,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,17,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,10,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,15,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,18,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,16,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,19,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,8,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,11,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
207,Paulo Gazzaniga Farias,u,Fulham,GKP,12,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
15,Aaron Ramsdale,a,Arsenal,GKP,7,6,90,0,0,1,0,0,0,0,0,0,2,0,50,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,10,1,90,0,0,0,2,0,0,0,0,0,1,0,50,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,3,6,90,0,0,1,0,0,0,0,0,0,1,0,50,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,9,2,90,0,0,0,1,0,0,0,0,0,2,0,50,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,2,2,90,0,0,0,1,0,0,0,0,0,2,0,50,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,14,2,90,0,0,0,3,0,0,0,0,0,3,0,50,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,4,6,90,0,0,1,0,0,0,0,0,0,2,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,18,2,90,0,0,0,1,0,0,0,0,0,2,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,12,1,90,0,0,0,2,0,0,0,0,0,2,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,11,10,90,0,0,1,0,0,0,0,0,0,4,3,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,17,2,90,0,0,0,1,0,0,0,0,0,2,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,16,6,90,0,0,1,0,0,0,0,0,0,2,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,6,6,90,0,0,1,0,0,0,0,0,0,1,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,20,6,90,0,0,1,0,0,0,0,0,0,2,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,19,3,90,0,0,0,1,0,0,0,0,0,3,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,5,2,90,0,0,0,2,0,0,0,0,0,3,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,15,6,90,0,0,1,0,0,0,0,0,0,1,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,18,11,90,0,0,1,0,0,0,0,0,0,7,3,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,14,1,90,0,0,0,2,0,0,0,0,0,2,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,8,3,90,0,0,0,1,0,0,0,0,0,3,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,4,2,90,0,0,0,1,0,0,0,0,0,1,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,13,1,90,0,0,0,3,0,0,0,0,0,2,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,2,2,90,0,0,0,2,0,0,0,0,0,3,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,10,6,90,0,0,1,0,0,0,0,0,0,0,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,8,7,90,0,0,1,0,0,0,0,0,0,5,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,3,1,90,0,0,0,2,0,0,0,0,0,2,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,9,6,90,0,0,1,0,0,0,0,0,0,2,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,7,3,90,0,0,0,1,0,0,0,0,0,3,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,11,3,90,0,0,0,1,0,0,0,0,0,4,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,12,1,90,0,0,0,2,0,0,0,1,0,4,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,19,1,90,0,0,0,2,0,0,0,0,0,1,0,49,119,0,12,1,0,77,0,
15,Aaron Ramsdale,a,Arsenal,GKP,17,2,90,0,0,0,3,0,0,0,0,0,3,0,49,119,0,12,1,0,77,0,
152,Vicente Guaita,a,Crystal Palace,GKP,7,1,90,0,0,0,2,0,0,0,0,0,1,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,10,2,90,0,0,0,1,0,0,0,1,0,3,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,3,3,90,0,0,0,1,0,0,0,0,0,4,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,9,0,90,0,0,0,4,0,0,0,0,0,1,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,2,2,90,0,0,0,1,0,0,0,0,0,2,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,14,7,90,0,0,1,0,0,0,0,0,0,5,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,4,1,90,0,0,0,2,0,0,0,0,0,1,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,18,3,90,0,0,0,1,0,0,0,0,0,3,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,12,11,90,0,0,1,0,0,0,0,0,0,6,3,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,11,3,90,0,0,0,1,0,0,0,0,0,3,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,17,2,90,0,0,0,3,0,0,0,0,0,3,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,16,9,90,0,0,1,0,0,0,0,0,0,4,2,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,6,2,90,0,0,0,1,0,0,0,0,0,1,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,20,2,90,0,0,0,1,0,0,0,0,0,1,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,19,3,90,0,0,0,3,0,0,0,0,0,7,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,5,7,90,0,0,1,0,0,0,0,0,0,2,1,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,15,0,90,0,0,0,4,0,0,0,0,0,2,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,18,3,90,0,0,0,1,0,0,0,0,0,4,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,14,3,90,0,0,0,1,0,0,0,0,0,3,0,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,14,10,90,0,0,1,0,0,0,0,0,0,7,2,45,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,5,2,90,0,0,0,2,0,0,0,0,0,3,0,44,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,4,4,90,0,0,0,1,0,0,0,0,0,6,0,44,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,12,3,90,0,0,0,1,0,0,0,0,0,4,0,44,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,2,9,90,0,0,1,0,0,0,0,0,0,4,2,44,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,13,2,90,0,0,0,1,0,0,0,0,0,1,0,44,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,5,3,90,0,0,0,1,0,0,0,0,0,3,0,44,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,10,0,0,0,0,0,0,0,0,0,0,0,0,0,44,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,11,2,90,0,0,0,1,0,0,0,0,0,1,0,44,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,17,0,0,0,0,0,0,0,0,0,0,0,0,0,44,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,8,0,0,0,0,0,0,0,0,0,0,0,0,0,44,99,0,6,1,0,85,0,
152,Vicente Guaita,a,Crystal Palace,GKP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,99,0,6,1,0,85,0,
24,Matt Turner,a,Arsenal,GKP,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,10,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,9,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
24,Matt Turner,a,Arsenal,GKP,14,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
