,id_player,first_name,second_name,web_name_x,status,name,position,element,fixture,opponent_team,gameweek_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,gameweek_goals,gameweek_assists,gameweek_clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,gameweek_yellow_cards,gameweek_red_cards,gameweek_saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,total_points,total_assists,total_clean_sheets,total_yellow_cards,total_red_cards,total_saves,total_goals
0,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,1,7,2,FALSE,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,12,16.6,15,2,3.4,1,0,0.06,0.06,1.21,50,0,48303,0,0,118,5,11,4,0,0,5
1,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,11,10,12,TRUE,2022-08-13T14:00:00Z,4,2,2,90,1,1,0,2,0,0,0,0,0,0,2,35,54.8,25.5,28,10.8,1,0.38,0.1,0.48,0.46,50,-629,65418,9001,9630,118,5,11,4,0,0,5
2,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,21,3,6,FALSE,2022-08-20T16:30:00Z,0,3,3,87,0,1,1,0,0,0,0,0,0,0,0,25,25.8,34,6,6.6,1,0,0.11,0.11,0.26,50,112040,216726,137326,25286,118,5,11,4,0,0,5
3,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,31,9,2,TRUE,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,9,8.2,25,12,4.5,1,0.09,0.07,0.16,0.83,50,42760,267951,77459,34699,118,5,11,4,0,0,5
4,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,41,2,2,TRUE,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,25,8,4.6,1,0,0.04,0.04,0.45,50,10781,288460,49435,38654,118,5,11,4,0,0,5
5,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,56,14,2,FALSE,2022-09-04T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,18,15.2,14.9,46,7.6,1,0.16,0.13,0.29,1.55,50,8776,308627,50721,41945,118,5,11,4,0,0,5
6,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,72,4,5,FALSE,2022-09-18T11:00:00Z,0,3,8,90,0,1,1,0,0,0,0,1,0,0,0,24,25,36.2,3,6.4,1,0.04,0.25,0.29,0.53,50,-3612,302039,11300,14912,118,5,11,4,0,0,5
7,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,81,18,9,TRUE,2022-10-01T11:30:00Z,3,1,9,90,1,0,0,1,0,0,0,0,0,0,2,29,36.2,20.2,31,8.7,1,0.33,0.17,0.5,1.57,51,7375,317511,32640,25265,118,5,11,4,0,0,5
8,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,91,12,2,TRUE,2022-10-09T15:30:00Z,3,2,10,90,0,0,0,2,0,0,0,0,0,0,0,8,16.6,7.3,18,4.2,1,0.08,0.25,0.33,1.13,51,63525,390185,83754,20229,118,5,11,4,0,0,5
9,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,104,11,3,FALSE,2022-10-16T13:00:00Z,0,1,11,90,0,0,1,0,0,0,0,0,0,0,0,15,8.6,2.8,2,1.3,1,0,0.02,0.02,1.86,51,-8549,381694,26252,34801,118,5,11,4,0,0,5
10,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,127,17,10,FALSE,2022-10-23T13:00:00Z,1,1,13,90,1,0,0,1,0,0,0,0,0,0,3,34,49,41.6,34,12.5,1,0.29,0.06,0.35,0.67,51,16549,368620,34061,17512,118,5,11,4,0,0,5
11,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,131,16,3,TRUE,2022-10-30T14:00:00Z,5,0,14,74,0,0,1,0,0,0,0,0,0,0,0,11,2.8,26.2,16,4.5,1,0.04,0.19,0.23,0.39,51,63626,438068,77987,14361,118,5,11,4,0,0,5
12,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,142,6,3,FALSE,2022-11-06T12:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,0,16,20.4,4.6,22,4.7,1,0.07,0.03,0.1,0.29,51,-9632,429403,28099,37731,118,5,11,4,0,0,5
13,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,160,20,1,FALSE,2022-11-12T19:45:00Z,0,2,16,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0.2,0,0,1,0,0,0,0,51,-11525,420636,23835,35360,118,5,11,4,0,0,5
14,3,Granit,Xhaka,Xhaka,d,Arsenal,MID,3,161,19,5,TRUE,2022-12-26T20:00:00Z,3,1,17,90,0,1,0,1,0,0,0,0,0,0,0,22,31.8,31.9,23,8.7,1,0.07,0.08,0.15,1.07,51,-28511,396383,88192,116703,118,5,11,4,0,0,5
